,,,,,,,,Undiscounted,,,,,,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fixed,,Float CMS,,MACS,,,,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,0,0,0,1603811.738,24.016438,25.024658,,0.00,0,"1,603,811.74",1133455.232,,,,,,,,,,0.706725861,1133455.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,-1652490.603,23.019178,24.027397,,"-1,652,490.60",-1184495.494,0.00,0,,,,,,,,,,0.716794088,-1184495.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,0,0,0,1615567.99,23.013699,24.027397,,0.00,0,"1,615,567.99",1158029.583,,,,,,,,,,0.716794088,1158029.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,-1639019.212,22.019178,23.019178,,"-1,639,019.21",-1191730.151,0.00,0,,,,,,,,,,0.727099562,-1191730.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,0,0,0,1605243.832,22.013699,23.019178,,0.00,0,"1,605,243.83",1167172.087,,,,,,,,,,0.727099562,1167172.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,-1639019.212,21.019178,22.019178,,"-1,639,019.21",-1208691.5,0.00,0,,,,,,,,,,0.737448037,-1208691.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,0,0,0,1602725.01,21.008219,22.019178,,0.00,0,"1,602,725.01",1181926.412,,,,,,,,,,0.737448037,1181926.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,-1639019.212,20.019178,21.019178,,"-1,639,019.21",-1225862.236,0.00,0,,,0.00,,,,,,,0.747924263,-1225862.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,0,1599593.813,20.008219,21.019178,,0.00,0,"1,599,593.81",1196375.023,,,0.00,,,,,,,0.747924263,1196375.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"-30,241,056.40",,"30,604,664.26",,,,,,,,,,,"363,607.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"363,607.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
